name,code,pop
Albania,ALB,35.7
Austria,AUT,41.6
Bosnia and Herzegovina,BIH,24.6
Belgium,BEL,43.8
Bulgaria,BGR,24.6
Cyprus,CYP,14.3
Czech Republic,CZE,21.8
Germany,DEU,34.5
Denmark,DNK,41.3
Estonia,EST,26.7
Greece,GRC,21.3
Spain,ESP,41.1
Finland,FIN,46
France,FRA,39.1
Croatia,HRV,31.8
Hungary,HUN,13.1
Ireland,IRL,27.7
Iceland,ISL,47.6
Italy,ITA,35.8
Liechtenstein,LIE,28
Lithuania,LTU,28.4
Luxembourg,LUX,35
Latvia,LVA,28
Montenegro,MNE,27.2
North Macedonia,MKD,40.2
Malta,MT,13.4
Netherlands,NLD,37.8
Norway,NOR,45
Poland,POL,27.5
Portugal,PRT,40.9
Romania,ROU,20
Serbia,SRB,39.6
Sweden,SWE,47.6
Slovenia,SVN,22.1
Slovakia,SVK,21.3
Turkey,TUR,17.3
United Kingdom,GBR,31.1
